name,screen_name,followers_count,fav_avg,rt_avg
Senator Patty Murray,PattyMurray,108762,1509,1261
Anthony G. Brown,AnthonyBrownMD4,6067,33,1226
Robin Kelly,RepRobinKelly,9227,103,1225
Rep. Doris Matsui,DorisMatsui,22684,83,1219
Jim Bridenstine,RepJBridenstine,21921,316,1196
Rep. Blunt Rochester,RepBRochester,2135,33,1194
Sen Dianne Feinstein,SenFeinstein,219148,2139,1189
John Kasich,JohnKasich,755475,2509,1185
Denny Heck,RepDennyHeck,12940,47,1183
Mike Thompson,RepThompson,15546,98,1167
John Shimkus,RepShimkus,22644,51,1142
Governor Sandoval,GovSandoval,29730,136,1136
Jason Chaffetz,jasoninthehouse,269462,1301,1109
Adriano Espaillat,EspaillatNY,10629,26,1105
Scott Taylor,Scotttaylorva,8818,48,1088
Rep. Jimmy Panetta,RepJimmyPanetta,3105,277,1085
Rep. Mark Walker,RepMarkWalker,6601,73,1072
RepKevinBrady,RepKevinBrady,25868,57,1069
Elijah E. Cummings,RepCummings,104521,312,1055
Rep. Bill Huizenga,RepHuizenga,15018,22,1051
Rep. Mark Pocan,repmarkpocan,17284,30,1015
"John Conyers, Jr.",RepJohnConyers,35276,157,1004
Rep. Frank Pallone,FrankPallone,22513,105,1001
RepBThompson,BennieGThompson,6707,9,999
Senator Bob Menendez,SenatorMenendez,99615,1441,998
Rep. Cheri Bustos,RepCheri,19430,192,991
Steve King,SteveKingIA,52073,543,984
Mario Diaz-Balart,MarioDB,28851,96,976
Richard Hudson,RepRichHudson,11633,48,975
Scott Walker,ScottWalker,274914,1628,969
Earl Blumenauer,repblumenauer,35558,366,969
John Rutherford,JRutherfordFL,1131,36,953
Dina Titus,repdinatitus,12171,116,947
Blaine Luetkemeyer,RepBlainePress,5853,19,926
Thomas Massie,RepThomasMassie,33994,492,923
Gwen Moore,RepGwenMoore,21080,139,919
Lloyd Doggett,RepLloydDoggett,22183,234,913
Luis V. Gutierrez,RepGutierrez,65772,284,888
"Larry Bucshon, MD",RepLarryBucshon,13749,19,885
Rep. Paul Mitchell,RepPaulMitchell,1575,3,871
Rep. Jeff Duncan,RepJeffDuncan,40882,158,855
Rep. Mike Kelly,MikeKellyPA,9042,101,849
Jerry Brown,JerryBrownGov,1119275,511,822
John Ratcliffe,RepRatcliffe,5848,79,822
Tim Walz,RepTimWalz,7893,139,813
Brenda Lawrence,RepLawrence,6988,58,806
Rep. Alan Lowenthal,RepLowenthal,17638,72,803
Rick Scott,FLGovScott,91096,403,783
Brian Babin,RepBrianBabin,6202,114,745
Mike Bishop,RepMikeBishop,7229,36,741
Rep. Gene Green,RepGeneGreen,14370,5,735
Mike Lee,SenMikeLee,314821,525,726
Rep. Jim Jordan,Jim_Jordan,53988,346,697
U.S. Rep. Billy Long,USRepLong,9404,29,686
Rep. Ro Khanna,RepRoKhanna,5675,134,667
Louise Slaughter,louiseslaughter,20368,64,657
Governor Roy Cooper,NC_Governor,14578,1306,653
Tim Scott,SenatorTimScott,220205,986,653
Rep Andy Biggs,RepAndyBiggsAZ,2185,10,652
Rep. Terri A. Sewell,RepTerriSewell,19859,161,646
Rep Cedric Richmond,RepRichmond,18219,69,634
Carolyn  B. Maloney,RepMaloney,20557,94,618
Tammy Duckworth,SenDuckworth,68431,1077,617
Warren Davidson,WarrenDavidson,6323,172,617
TeamMoulton,teammoulton,5537,56,609
Ileana Ros-Lehtinen,RosLehtinen,95809,348,608
Doug Ducey,dougducey,27582,209,606
Jerry Moran,JerryMoran,39432,47,603
Senator Ben Sasse,SenSasse,64317,1093,602
Senator Pat Toomey,SenToomey,71131,95,597
Rep. Scott Peters,RepScottPeters,15678,152,596
Rep. Marc Veasey,RepVeasey,10416,41,591
Tom Udall,SenatorTomUdall,52013,566,589
Rep. Dave Brat,RepDaveBrat,8717,99,588
Rep. Steve Womack,rep_stevewomack,13908,2,588
Gov. Greg Abbott,GovAbbott,109756,615,584
Leader McConnell,SenateMajLdr,258811,1135,582
Rep Dan Newhouse,RepNewhouse,5945,28,581
Steve Daines,SteveDaines,14037,12,574
Chris Van Hollen,ChrisVanHollen,52733,555,563
Scott DesJarlais,DesJarlaisTN04,12333,22,556
Rep Stephanie Murphy,RepStephMurphy,8430,692,552
Sen. Tammy Baldwin,SenatorBaldwin,39603,515,552
Louie Gohmert,replouiegohmert,77754,327,551
Kevin McCarthy,GOPLeader,109212,385,549
Rep. Don Young,repdonyoung,13166,21,539
Sean Duffy,RepSeanDuffy,24737,75,529
Rep. Jody Hice,CongressmanHice,6198,75,525
Senator Mazie Hirono,maziehirono,37721,393,523
Joyce Beatty,RepBeatty,13821,133,520
Ted Budd,RepTedBudd,1586,58,507
Darrell Issa,DarrellIssa,266195,394,506
Senator Hatch Office,senorrinhatch,35213,161,505
CathyMcMorrisRodgers,cathymcmorris,37907,153,503
Thom Tillis,ThomTillis,34104,86,502
Jackie Speier,RepSpeier,53589,297,501
Mike Quigley,RepMikeQuigley,22965,205,498
Rep. Carlos Curbelo,RepCurbelo,11118,93,497
Francis Rooney,RepRooney,1669,49,494
Amy Klobuchar,amyklobuchar,170717,1316,489
Rep. Tulsi Gabbard,TulsiPress,72270,449,482
Kenny Marchant,RepKenMarchant,19941,15,481
Randy Weber,TXRandy14,9639,37,475
Rep. Jamie Raskin,RepRaskin,14247,1019,468
Jim Langevin,JimLangevin,17339,62,468
Pete Sessions,PeteSessions,25918,35,463
Bill Foster,RepBillFoster,13063,68,462
Mark Meadows,RepMarkMeadows,25254,209,455
Rep. Doug Lamborn,RepDLamborn,11001,43,455
Paul Tonko,RepPaulTonko,18576,7,453
Richard Blumenthal,SenBlumenthal,97844,90,445
Rep. John Moolenaar,RepMoolenaar,4692,16,444
Rep. Glenn Grothman,RepGrothman,3181,26,441
Rep. Barbara Lee,RepBarbaraLee,121154,2727,439
Governor Matt Bevin,GovMattBevin,25954,476,438
Rep. Alex Mooney,RepAlexMooney,4853,83,437
John Kennedy,SenJohnKennedy,3722,156,412
André Carson,RepAndreCarson,22770,158,402
Peter Roskam,PeterRoskam,22838,43,402
Barbara Comstock,RepComstock,8862,83,396
Rep. Bruce Westerman,RepWesterman,6303,22,396
Rep. Adam Smith,RepAdamSmith,23657,53,392
Bill Shuster,RepBillShuster,17424,11,392
Mo Brooks,RepMoBrooks,16489,51,389
Jeff Flake,JeffFlake,55422,76,382
Governor Nathan Deal,GovernorDeal,39172,188,377
Pat Roberts,SenPatRoberts,38226,6,374
Rep. Mia Love,RepMiaLove,13975,339,369
