cohort_week,weekly_user_count,cumulative_user_count
2013-07-29T00:00:00.000+0000,3,291
2013-08-05T00:00:00.000+0000,2,293
2013-08-19T00:00:00.000+0000,1,294
2013-09-09T00:00:00.000+0000,3,297
2013-09-16T00:00:00.000+0000,3,300
2013-09-23T00:00:00.000+0000,2,302
2013-09-30T00:00:00.000+0000,2,304
2013-10-21T00:00:00.000+0000,1,305
2013-11-04T00:00:00.000+0000,4,309
2013-11-11T00:00:00.000+0000,1,310
2013-12-09T00:00:00.000+0000,3,313
2013-12-16T00:00:00.000+0000,1,314
2013-12-30T00:00:00.000+0000,1,315
2014-01-06T00:00:00.000+0000,1,316
2014-01-13T00:00:00.000+0000,1,317
2014-01-20T00:00:00.000+0000,2,319
2014-01-27T00:00:00.000+0000,2,321
2014-02-03T00:00:00.000+0000,4,325
2014-02-10T00:00:00.000+0000,2,327
2014-02-17T00:00:00.000+0000,1,328
2014-02-24T00:00:00.000+0000,3,331
2014-03-03T00:00:00.000+0000,1,332
2014-03-17T00:00:00.000+0000,1,333
2014-03-31T00:00:00.000+0000,1,334
2014-04-07T00:00:00.000+0000,1,335
2014-04-21T00:00:00.000+0000,1,336
2014-04-28T00:00:00.000+0000,1,337
2014-05-05T00:00:00.000+0000,1,338
2014-05-12T00:00:00.000+0000,1,339
2014-05-19T00:00:00.000+0000,2,341
2014-05-26T00:00:00.000+0000,2,343
2014-06-16T00:00:00.000+0000,3,346
2014-06-23T00:00:00.000+0000,1,347
2014-06-30T00:00:00.000+0000,2,349
2014-07-14T00:00:00.000+0000,1,350
2014-07-21T00:00:00.000+0000,1,351
2014-07-28T00:00:00.000+0000,1,352
2014-09-01T00:00:00.000+0000,1,353
2014-10-06T00:00:00.000+0000,1,354
2014-10-13T00:00:00.000+0000,1,355
2014-10-20T00:00:00.000+0000,1,356
2014-11-03T00:00:00.000+0000,1,357
2014-11-17T00:00:00.000+0000,1,358
2014-12-01T00:00:00.000+0000,4,362
2014-12-15T00:00:00.000+0000,1,363
2014-12-29T00:00:00.000+0000,2,365
2015-01-05T00:00:00.000+0000,29,394
2015-01-12T00:00:00.000+0000,7,401
2015-01-19T00:00:00.000+0000,3,404
2015-01-26T00:00:00.000+0000,4,408
2015-02-02T00:00:00.000+0000,2,410
