name,followers_count,friends_count
Rep. Bob Gibbs,21984,2955
David B. McKinley,21963,1077
Jim Bridenstine,21921,3491
Steve Stivers,21903,944
Ed Royce,21630,995
Rep. Jim Renacci,21518,677
Gov John Bel Edwards,21430,5820
Rep. Zoe Lofgren,21425,104
Rep. Greg Walden,21406,176
Rep. Kristi Noem,21333,343
Gerry Connolly,21225,237
Lamar Smith,21146,3680
Rep. Ted Deutch,21138,1763
Rep. Walter Jones,21122,461
Gwen Moore,21080,1608
Rep. Ed Perlmutter,20987,4404
Lynn Jenkins,20953,4603
Bill Cassidy,20716,1187
Jose E. Serrano,20672,971
Patrick McHenry,20634,3850
Carolyn  B. Maloney,20557,3279
Brian Higgins,20464,3161
Louise Slaughter,20368,1439
Fred Upton,20352,2361
Steve Cohen,20204,512
Gregory Meeks,19989,665
Nita Lowey,19962,936
Kenny Marchant,19941,2165
Rep. Tim Murphy,19914,676
Bruce Rauner,19862,119
Rep. Terri A. Sewell,19859,2380
Jeb Hensarling,19833,769
Steve Chabot 🇺🇸,19821,3073
John Garamendi,19786,9058
Congressman Ami Bera,19540,168
Rob Portman,19504,1696
Diane Black,19485,1959
Rep. Cheri Bustos,19430,5392
Senator Todd Young,19308,486
Rep. Tom Marino,19189,937
Chellie Pingree,19166,607
Sean Patrick Maloney,19050,810
Kyrsten Sinema,18937,760
Rep. John Larson,18775,454
Virginia Foxx,18765,1334
Paul Tonko,18576,1823
Rep. Joe Courtney,18490,1925
Tom Rooney,18456,3875
Rep. Will Hurd,18340,955
Rep Peter DeFazio,18333,742
Rep Cedric Richmond,18219,862
Rep. Kurt Schrader,17774,755
Dave Reichert,17712,3020
Raúl R. Labrador,17655,666
Rep. Alan Lowenthal,17638,3292
Mike Rogers,17563,2859
Sam Brownback,17513,394
MichelleLujanGrisham,17483,528
Bill Shuster,17424,1047
Grace Meng,17403,672
Rep Frederica Wilson,17345,3040
Jim Langevin,17339,4337
Rep. Mark Pocan,17284,5112
Niki Tsongas,17173,1610
Rep David Schweikert,17070,1940
Ruben Gallego,16981,2433
Idaho Governor,16878,1662
Rep. Erik Paulsen,16848,2915
Rep. Kevin Yoder,16774,1625
Steve Bullock,16690,370
Susana Martinez,16684,40
Rep. Jared Huffman,16655,797
Rep. Lou Barletta,16566,1707
Mo Brooks,16489,2007
Jeff Denham,16286,1786
Ron DeSantis,16115,1407
Bill Posey,16002,932
Elizabeth Esty,15863,1382
