name,created_at,tweet,likes
Donald J. Trump,2017-02-05 22:49:42,Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!,185938
Donald J. Trump,2017-01-27 16:27:02,The #MarchForLife is so important. To all of you marching --- you have my full support!,185802
Donald J. Trump,2017-03-01 13:38:44,THANK YOU!,185002
Donald J. Trump,2016-11-24 03:30:36,"Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!",183887
Donald J. Trump,2017-01-20 17:52:45,"What truly matters is not which party controls our government, but whether our government is controlled by the people.",181139
Donald J. Trump,2017-01-31 11:27:02,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,180042
Donald J. Trump,2017-01-23 11:38:16,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,178592
Donald J. Trump,2017-01-21 11:53:41,A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!,178225
Elizabeth Warren,2017-02-08 01:29:59,I will not be silent about a nominee for AG who has made derogatory &amp; racist comments that have no place in our justice system.,177946
Donald J. Trump,2017-01-30 21:07:52,"The American dream is back. We’re going to create an environment for small business like we haven’t had in many, many decades!",177720
Donald J. Trump,2016-11-15 13:34:43,If the election were based on total popular vote I would have campaigned in N.Y. Florida and California and won even bigger and more easily,177243
Donald J. Trump,2017-06-03 23:17:13,"We need to be smart, vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!",176832
Donald J. Trump,2017-03-02 11:00:41,"Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!",176519
Donald J. Trump,2016-11-11 13:33:35,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!,176288
Donald J. Trump,2017-02-04 12:59:35,"When a country is no longer able to say who can, and who cannot , come in &amp; out, especially for reasons of safety &amp;.security - big trouble!",176092
Donald J. Trump,2017-01-20 17:54:36,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,174530
Donald J. Trump,2017-01-30 12:27:05,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,174039
