name,tweet,created_at,retweets,likes
Donald J. Trump,We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite!,2017-03-03 17:54:30,54751,150913
Donald J. Trump,"Kathy Griffin should be ashamed of herself. My children, especially my 11 year old son, Barron, are having a hard time with this. Sick!",2017-05-31 11:14:48,54623,195407
Donald J. Trump,"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!",2017-01-25 02:37:48,54267,194823
Donald J. Trump,"Venezuela should allow Leopoldo Lopez, a political prisoner &amp; husband of @liliantintori (just met w/ @marcorubio) out of prison immediately.",2017-02-15 23:59:26,54108,110746
Bernie Sanders,"I will be voting against Betsy DeVos for Secretary of Education. We must strengthen public education in America, not destroy it.",2017-01-26 17:35:08,54098,191177
John McCain,"What, did they want me to call him a crazy skinny kid?",2017-03-29 19:05:09,54020,110314
Donald J. Trump,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them! U.S.A.",2017-04-11 12:03:43,53785,137061
Donald J. Trump,"We need to be smart, vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!",2017-06-03 23:17:13,53673,176832
Donald J. Trump,How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,2017-03-04 12:02:48,53152,163300
John Lewis,"I’ve marched, protested, been beaten and arrested--all for the right to vote. Friends of mine gave their lives. Honor their sacrifice. Vote.",2016-11-03 12:58:29,53148,74583
Donald J. Trump,"This will prove to be a great time in the lives of ALL Americans. We will unite and we will win, win, win!",2016-11-12 15:05:33,52760,199399
Donald J. Trump,"In addition to winning the Electoral College in a landslide, I won the popular vote if you deduct the millions of people who voted illegally",2016-11-27 20:30:43,52723,160766
Donald J. Trump,"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN🇺🇸",2017-01-21 04:56:15,52689,291081
Donald J. Trump,Here is my statement.,2016-10-08 04:19:43,51183,118841
Donald J. Trump,"The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!",2017-02-17 21:48:22,51171,161565
Donald J. Trump,"Terrible! Just found out that Obama had my ""wires tapped"" in Trump Tower just before the victory. Nothing found. This is McCarthyism!",2017-03-04 11:35:20,50891,144395
Donald J. Trump,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!",2017-02-07 12:11:29,50738,189272
Donald J. Trump,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",2017-01-29 13:08:18,50695,219794
Bernie Sanders,Trump's decision to withdraw the US from the Paris climate agreement is an abdication of American leadership and an international disgrace.,2017-06-01 19:37:10,50066,116709
Elizabeth Warren,Consider this MY warning: We won’t be silent. We will speak out. And we WILL persist.,2017-02-09 01:33:04,49903,149718
Donald J. Trump,Do you notice we are not having a gun debate right now? That's because they used knives and a truck!,2017-06-04 11:43:30,49870,164459
Bernie Sanders,"Your constitutional rights don’t depend on your race, gender, religion, sexuality or income. I can’t believe we still need to say that.",2016-07-07 13:33:15,49672,65588
Bernie Sanders,"When Trump said we need to promote clean air and clean water, I had a hard time not laughing. Today he rolled back clean water rules.",2017-03-01 03:51:56,49559,109243
Bernie Sanders,I disagreed with President Bush all the time. I never called him a pathological liar. He was just conservative. But Trump lies all the time.,2017-02-12 18:41:00,49412,161241
Donald J. Trump,"Merry Christmas and a very, very, very , very Happy New Year to everyone!",2016-12-25 17:48:48,49393,209966
John Lewis,"55yrs ago today I was released from Parchman Penitentiary after being arrested in Jackson for using ""white"" restroom",2016-07-07 13:45:47,49145,67066
Chuck Schumer,"Happily talk re: my contact w Mr. Putin &amp; his associates, took place in '03 in full view of press &amp; public under oath. Would you &amp;your team?",2017-03-03 18:24:35,49082,93731
Donald J. Trump,HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!,2017-02-20 14:33:33,49080,243755
Donald J. Trump,If the election were based on total popular vote I would have campaigned in N.Y. Florida and California and won even bigger and more easily,2016-11-15 13:34:43,48835,177243
Congressman Al Green,"Today on the floor of the Congress of the United States of America, I will call for the Impeachment of the President between 9am &amp; 10am CST.",2017-05-17 12:07:27,48582,120785
Donald J. Trump,"Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant in Kentucky - no Mexico",2016-11-18 02:01:52,48543,164652
Donald J. Trump,MAKE AMERICA GREAT AGAIN!,2017-06-02 01:00:35,48471,163948
Donald J. Trump,"Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!",2016-11-24 03:30:36,48060,183887
